idx,Periódico,Categoría,Título,Contenido,Clasificación,Score BERT,Tipo
14,20minutos,Internacional,trump elogia a carlos iii por hacer que los demócratas se pusieran de pie y admite sentir envidia por su discurso,el presidente de estados unidos donald trump ha elogiado la intervención del rey carlos iii de inglaterra ante el congreso y ha asegurado que logró lo que él nunca pudo que los demócratas se pusieran de pie. no podía creerlo yo nunca he podido hacer eso ha afirmado el mandatario durante la cena de e...,Clickbait,0.510,Ambos: Clickbait
15,20minutos,Internacional,la cultura de las armas,hace años una institución académica americana hizo un informe fundamentado en los datos públicos disponibles sobre las muertes por arma de fuego que se habían producido en estados unidos en un periodo concreto. la trágica conclusión del estudio fue que la mayor parte de las personas que perdieron la...,No Clickbait,0.348,Ambos: No Clickbait
16,20minutos,Internacional,bruselas acusa a meta de incumplir la normativa europea al permitir que menores de 13 años usen instagram y facebook,la comisión europea ha concluido que meta incumple la normativa europea concretamente la ley de servicios digitales dsa por sus siglas en inglés al permitir que los menores de 13 años usen tanto facebook como instagram. así lo ha confirmado bruselas con un comunicado este mismo miércoles. a pesar de...,No Clickbait,0.226,Ambos: No Clickbait
17,20minutos,Internacional,la casa blanca publica una foto de trump y carlos iii con el mensaje dos reyes,la casa blanca compartió este martes una fotografía del presidente de estados unidos donald trump junto al monarca británico carlos iii acompañada de la leyenda dos reyes. esto generó críticas y memes en redes sociales.en la imagen aparecen trump y carlos iii en uno de los jardines de la casa blanca...,Clickbait,0.528,Ambos: Clickbait
18,20minutos,Internacional,un anciano armado una venganza contras las instituciones públicas y cinco heridos qué se sabe del doble tiroteo en atenas,un hombre de 89 años con una escopeta escondida bajo la gabardina ha puesto en tela de juicio la seguridad que grecia ofrece a los edificios públicos en su propia capital atenas. el supuesto autor de los hechos identificado con las iniciales p.k. ha sido capaz de perpetrar un tiroteo este martes en ...,No Clickbait,0.230,Ambos: No Clickbait
19,20minutos,Internacional,la carta que dejó el presunto autor del tiroteo en atenas sobre el ataque los tribunales griegos me trataron como a un perro...,las fuerzas de seguridad de grecia han detenido este martes a un hombre de 89 años acusado de ser el principal sospechoso del tiroteo ocurrido en el centro de atenas. el ataque se ha saldado con cinco heridos que han tenido que ser hospitalizados aunque se encuentran estables. hasta el momento ningu...,Clickbait,0.554,Ambos: Clickbait
20,20minutos,Nacional,el guisante bajo el colchón,hace veintiocho años por estas fechas día arriba día abajo un periódico me pidió que escribiera mi primera columna. pese a lo codiciado del encargo pese a la reputación que le rodea escribir una columna no entra dentro de los oficios elegantes. se parece más a una cita semanal con aquello que desagr...,Clickbait,0.526,Ambos: Clickbait
21,20minutos,Nacional,crece la desconfianza política entre los jóvenes les pido que dejen el debate agresivo y nos escuchen activamente,la salud la familia y ganar dinero siguen siendo los aspectos más importantes en la vida de los jóvenes junto con el tiempo libre y el ocio según el informe jóvenes españoles 2026 que este martes presentó la fundación sm. del trabajo destaca el repunte de la religión el 384% la considera bastante o ...,No Clickbait,0.396,Ambos: No Clickbait
24,20minutos,Nacional,rufián muestra un billete de 50 euros a junts por su postura en contra del decreto para prorrogar los alquileres esta es su bandera,el portavoz de erc gabriel rufián ha arremetido este martes contra los diputados de junts por su decisión de votar en contra del real decreto ley de vivienda que incluye la prórroga de un máximo de dos años de los contratos de alquiler que vayan a vencer este 2026 y 2027 y el límite del 2% para la a...,No Clickbait,0.254,Ambos: No Clickbait
25,20minutos,Nacional,barbacid ​niega irregularidades tras la retirada de su estudio sobre el cáncer el valor de la investigación no está en duda,el científico español mariano barbacid ha respondido este martes a la retirada de un artículo firmado por su grupo de investigación en la revista científica proceedings of the national academy of sciences pnas después de que la academia nacional de ciencias de eeuu detectara un conflicto de interese...,No Clickbait,0.231,Ambos: No Clickbait
26,20minutos,Nacional,el gobierno invitará a delcy rodríguez a la cumbre iberoamericana de madrid en noviembre,el gobierno de españa invitará a la presidenta encargada de venezuela delcy rodríguez a la cumbre iberoamericana que se celebrará en madrid los próximos 4 y 5 de noviembre. así lo ha confirmado el ministro de asuntos exteriores josé manuel albares este martes en santo domingo república dominicana.en...,No Clickbait,0.196,Ambos: No Clickbait
27,20minutos,Nacional,comprobar euromillones resultados de hoy martes 28 de abril de 2026,la combinación ganadora del euromillones del martes 28 de abril de 2026 ha sido la formada por los números 26 29 41 46 y 47. las estrellas han sido el 8 y 9. el código el millón brd02586. puedes consultar todos los resultados en la web de ....,No Clickbait,0.231,Ambos: No Clickbait
28,20minutos,Nacional,illa apuesta por extender el espíritu de sant jordi como gesto revolucionario de convivencia frente a la prioridad nacional,para el presidente de la generalitat catalana salvador illa el gesto más revolucionario de convivencia pasa por una pregunta de fondo qué puede aportar cada ciudadano para construir una sociedad más rica justa y humana. ese es a su juicio el espíritu que encarna diada de sant jordi y que aspira a pr...,No Clickbait,0.435,Ambos: No Clickbait
29,20minutos,Nacional,comprobar once resultados de hoy martes 28 de abril de 2026,el número premiado en el sorteo de la once de este martes 28 de abril de 2026 es el 01449. la serie corresponde al 001. puedes consultar todos los resultados en la web de ....,No Clickbait,0.248,Ambos: No Clickbait
30,20minutos,Nacional,sesión de control en directo | el pnv reprocha a sánchez sus promesas incumplidas en pleno choque por el meme de los socialistas vascos sobre esteban,el congreso retoma su actividad a partir de las 0900 horas de este miércoles con la sesión de control al gobierno. el presidente del ejecutivo pedro sánchez deberá responder en la cámara baja mientras su exministro josé luis ábalos declara ante el tribunal supremo por el caso mascarillas. la oposici...,No Clickbait,0.198,Ambos: No Clickbait
31,20minutos,Nacional,el presidente de renfe asegura que la empresa es una víctima más en los accidentes de adamuz y gelida,el presidente de renfe álvaro fernández heredia ha asegurado este martes durante una comparecencia en el congreso de los diputados que la empresa pública operadora de trenes es una víctima más de los dos accidentes ferroviarios que ocurrieron en enero en la localidad cordobesa de adamuz y el municip...,No Clickbait,0.244,Ambos: No Clickbait
32,20minutos,Nacional,la caída del decreto del alquiler abre un escenario de incertidumbre para los inquilinos será un semillero de pleitos,el congreso de los diputados rechazó este martes con los votos en contra de pp vox y junts y la abstención del pnv el real decreto ley de la prórroga extraordinaria de los contratos de alquiler aprobado por el gobierno hace un mes a iniciativa de sumar. una vez decaído la duda está ahora en qué pasa...,No Clickbait,0.225,Ambos: No Clickbait
33,20minutos,Nacional,los errores y las pruebas del caso wanninkhof que llevaron a prisión a dolores vázquez,pocas situaciones en la vida debe haber más desquiciantes que ser encarcelados siendo inocentes. dolores vázquez pasó 519 días en prisión por un crimen que no había cometido. pero la condena no terminó ahí. su libertad quedó presa de la duda la especulación y la ignorancia. ahora 26 años después ha ...,No Clickbait,0.337,Ambos: No Clickbait
34,20minutos,Nacional,las primeras imágenes del accidente de adamuz desde el interior de los trenes refuerzan la hipótesis de la rotura de la vía,los peritos de la comisión de investigación de accidentes ferroviarios ciaf han entregado a la jueza que dirige las pesquisas de las causas del siniestro de adamuz un informe que recoge las primeras imágenes del interior de los trenes con la secuencia de hechos entre el descarrilamiento del iryo y e...,No Clickbait,0.241,Ambos: No Clickbait
35,20minutos,Nacional,los inquilinos anuncian una primavera de movilizaciones por los alquileres y los socios de sánchez le urgen a presentar otro decreto,la confederación de sindicatos de inquilinas anunció este martes una primavera de movilizaciones por el derecho a la vivienda después de que decayera en el congreso de los diputados la prórroga de los alquileres aprobada por el gobierno para hacer frente a las consecuencias derivadas de la guerra en...,No Clickbait,0.188,Ambos: No Clickbait
36,20minutos,Nacional,juicio mascarillas en directo | aldama relata cómo conoció a sánchez y asegura que el presidente le dijo sé lo que estás haciendo y quería darte las gracias,el juicio por presunta corrupción en torno al ministerio de transportes que dirigía josé luis ábalos alcanza este miércoles su undécima jornada con el turno de los acusados que ha arrancado a las 1000 horas con la declaración del comisionista víctor de aldama en el tribunal supremo. el empresario ha...,No Clickbait,0.256,Ambos: No Clickbait
37,20minutos,Nacional,decreto de alquileres en el congreso quién ha votado a favor quién lo ha hecho en contra y qué partidos se han abstenido,el decreto ley para la prórroga de los alquileres nació en medio de un conflicto en el seno del consejo de ministros del 20 de marzo y ha muerto este martes tras decaer su convalidación en el congreso con los votos en contra de pp vox y junts y la abstención del pnv asestando un nuevo golpe parlamen...,No Clickbait,0.261,Ambos: No Clickbait
38,20minutos,Nacional,junts cumple su amenaza y tumba el decreto de alquileres mientras los socios del psoe le presionan para volverlo a presentar,lo venían pregonando y han acabado cumpliéndolo junts ha votado en contra del decreto de alquileres que se ha debatido este martes en el congreso a pesar de que desde sumar el partido que ha liderado las negociaciones con los grupos han mantenido hasta el final de cara al público la esperanza en que...,No Clickbait,0.270,Ambos: No Clickbait
39,20minutos,Nacional,comprobar bonoloto resultados de hoy martes 28 de abril de 2026,la combinación ganadora de la bonoloto de este martes 28 de abril de 2026 es 4 17 33 40 45 y 47. el número complementario es el 19 y el reintegro un 6. puedes consultar todos los resultados en la web de ....,No Clickbait,0.257,Ambos: No Clickbait
40,20minutos,Cultura,bad gyal anuncia 15 conciertos internacionales con su más cara world tour,bad gyal ha anunciado este martes una ampliación de la gira de presentación de su más reciente disco más cara con 15 fechas en europa latinoamérica y estados unidos que incluye paradas en espacios como el movistar arena de buenos aires el 14 de octubre.el anuncio ha llegado en medio de su recorrido ...,No Clickbait,0.333,Ambos: No Clickbait
41,20minutos,Cultura,ronnie wood guitarrista de rolling stones actuará en barcelona en 2026,el guitarrista de the rolling stones ronnie wood acompañado de su banda actuará en barcelona el 12 de septiembre en un concierto dentro del ciclo cruïlla concerts según ha informado este festival.la actuación de ronnie wood and his band tendrá lugar en la sala razzmatazz a las 2100 horas junto a una...,No Clickbait,0.297,Ambos: No Clickbait
42,20minutos,Cultura,¿cómo hemos llegado hasta aquí? el lustro salvaje de bunbury,enrique bunbury estajanovista de la canción construyendo piedra a piedra la obra inagotable sedienta y hambrienta. después del aviso apocalíptico llegaron posible y curso de levitación intensivo ambos en 2020 el primero siguiendo el orden clásico del creador y el segundo con su sonido de banda engra...,Clickbait,0.561,Ambos: Clickbait
43,20minutos,Cultura,herederos de dos músicos de la banda de jimi hendrix pierden la demanda por los derechos de grabaciones,el tribunal superior de londres desestimó este martes la demanda presentada por los herederos de dos antiguos músicos de jimi hendrix al concluir que sus reclamaciones sobre derechos propiedad y regalías vinculadas a grabaciones históricas carecen de suficiente base jurídica o están prescritas.el ju...,No Clickbait,0.229,Ambos: No Clickbait
44,20minutos,Cultura,un relato sobre la princesa canaria tenesoya gana el premio de literatura de puy du fou,el parque temático de toledo puy du fou hizo público este domingo el listado de ganadores de la ii edición de sus premios de literatura. en esta edición el concurso registró un total de 1.363 obras presentadas que debían versar sobre episodios de la historia de españa. el primer premio dotado con 10...,No Clickbait,0.275,Ambos: No Clickbait
45,20minutos,Cultura,alcalá norte sanguijuelas del guadiana marlena o barry b música y buena vibra en león da voz a muchos grupos,el vibra mahou fest se ha consolidado en un evento imprescindible en la actual escena musical del país. y en esta ocasión su edición en león ha conseguido un nuevo éxito por quinto año consecutivo.y no es de extrañar. ¿quién no quiere disfrutar de un cartel variado algo alejado de lo habitual y ver ...,No Clickbait,0.431,Ambos: No Clickbait
46,20minutos,Cultura,nieves herrero los reyes se han ganado a la calle por ejemplo tras la dana con el barro en los trajes y el rostro,a la periodista nieves herrero le apasiona la historia. sobre todo aquellos sucesos que se quedan entre los pliegues de los libros. esos sucesos de calado que acaban por quedar relegados. ella los rescata los pule y los adorna con un velo de ficción como ya hizo en otros de sus muchos títulos como l...,No Clickbait,0.479,Ambos: No Clickbait
48,20minutos,Cultura,amazon music presenta el exclusivo track by track de el baifo el nuevo álbum de quevedo,amazon music españa anuncia el lanzamiento de un track by track formato de contenido musical donde un artista comenta detalladamente cada canción de su nuevo álbum exclusivo e inédito de el bafio el nuevo álbum de quevedo. a través de este formato íntimo e inmersivo el artista canario comparte anécd...,No Clickbait,0.220,Ambos: No Clickbait
49,20minutos,Cultura,de un siglo anterior proporciona a bunbury su tercer número uno consecutivo en españa,bunbury ha cosechado con de un siglo anterior un nuevo número uno en españa el séptimo de su carrera en solitario y el tercero consecutivo para el artista zaragozano con uno de sus álbumes tras los cosechados por cuentas pendientes 2025 y greta garbo 2023.así consta en la lista oficial publicada est...,No Clickbait,0.293,Ambos: No Clickbait
51,20minutos,Cultura,¿de dónde proviene la expresión coser a puñaladas?,decimos que a alguien lo han cosido a puñaladas cuando ha recibido muchas cuchilladas seguidas una tras otra hasta dejar el cuerpo lleno de heridas. es una expresión utilizada habitualmente en criminología e investigación policial la cual se apoya en un sentido figurado del verbo coser que la rae re...,Clickbait,0.645,Ambos: Clickbait
52,20minutos,Cultura,nace radar madrid una nueva feria para internacionalizar el talento musical español,diversos actores de la industria musical aliados con la comunidad de madrid han presentado este martes radar madrid un nuevo mercado o feria con epicentro en la capital española y vocación de ayudar a internacionalizar el talento nacional en un momento excepcional para la música en español.con sede ...,No Clickbait,0.203,Ambos: No Clickbait
54,20minutos,Cultura,jaafar jackson arrasa en redes con los vídeos que lo comparan con su tío michael se transformó,la película michael llegó esta semana a los cines rodeada de dudas y críticas. pero hay algo que ha dado un giro inesperado a la conversación jaafar jackson. el actor encargado de dar vida a michael jackson que también es sobrino del artista ha pasado del escepticismo inicial a convertirse en fenóme...,Clickbait,0.517,Ambos: Clickbait
57,20minutos,Cultura,como decíamos ayer el saludo de manolo garcía en el primer concierto de el último de la fila en 30 años,hola como decíamos ayer… con estas palabras saludaba al público de málaga manolo garcía el vocalista de el último de la fila en el primer concierto de la gira con la que regresan a los escenarios después de casi treinta años de ausencia.el espectáculo comenzaba pasados unos minutos de las 2200 horas...,Clickbait,0.562,Ambos: Clickbait
59,20minutos,Cultura,segunda preventa de las entradas de karol g para los conciertos en madrid sevilla y barcelona cuándo se pueden comprar,los fans de karol g tienen una segunda oportunidad hacerse con una entrada para alguno de los seis conciertos que dará en españa. tras una primera preventa de éxito la colombiana ha tenido que añadir nuevas fechas en nuestro país. fue tras unas actuaciones memorables en el coachella 2026 donde reivi...,No Clickbait,0.305,Ambos: No Clickbait
60,ABC,Internacional,ormuz sigue bloqueado pese a los discursos victoriosos de teherán y washington,irán y estados unidos claman victoria en ormuz y tratan de proyectar una imagen de control del estrecho pero el tráfico de barcos sigue casi totalmente bloqueado. la tensión ha crecido desde la puesta en marcha de la operación libertad por parte de washington ... y por segundo día consecutivo emirat...,No Clickbait,0.253,Ambos: No Clickbait
61,ABC,Internacional,merz el canciller de papel tras un año al frente de alemania,apenas puso un pie en la cancillería de berlín el 6 de mayo de 2025 friedrich merz quiso visitar el sótano las salas técnicas y de crisis del edificio. fuera de agenda y antes incluso de reunirse con varios jefes de departamento pidió ser ... llevado al nivel subterráneo en el que se encuentra el la...,No Clickbait,0.264,Ambos: No Clickbait
62,ABC,Internacional,guerra en irán en directo ataques de estados unidos e israel y última hora del estrecho de ormuz y donald trump hoy,un destacado diputado iraní afirma que la propuesta de ee.uu. es más una lista de deseos que una realidad. un destacado miembro del parlamento iraní afirmó el miércoles que un informe de axios que incluye el texto de una propuesta estadounidense para un acuerdo con irán destinado a poner fin a la gu...,No Clickbait,0.353,Ambos: No Clickbait
63,ABC,Internacional,trump suspende el corredor marítimo en el estrecho de ormuz,la guerra que ayer estaba ganada hoy entra en pausa. y no por falta de músculo militar. en cuestión de horas donald trump ha pasado de defender que tenía control total sobre el estrecho de ormuz a pisar el freno y abrir un compás de ... espera. en un mensaje en sus redes sociales el presidente anunc...,No Clickbait,0.364,Ambos: No Clickbait
64,ABC,Internacional,el gobernador de sinaloa abandona el cargo tras se acusado por ee.uu. de vínculos con el narcotráfico,el gobernador del estado mexicano de sinaloa rubén rocha renunció este sábado para enfrentar la acusación de la justicia de estados unidos que lo señala como presunto integrante del cártel de sinaloa. es un hecho histórico en la política de este país donde funcionarios ... y gobernadores que han est...,No Clickbait,0.233,Ambos: No Clickbait
65,ABC,Internacional,irán busca amparo en china estados unidos más intervención,ante un panorama tan incierto como hostil irán busca refugio en el principal apoyo capaz de acudir en su defensa china . su ministro de exteriores seyed abbas araghchi ha visitado pekín este miércoles donde ha mantenido una reunión con su homólogo chino wang yi.un viaje que se produce apenas una sem...,No Clickbait,0.330,Ambos: No Clickbait
66,ABC,Internacional,tras las amenazas a españa trump ordena la retirada de 5.000 soldados de alemania,el gobierno de donald trump ha decidido este viernes la salida de 5.000 soldados destinados en bases de ee.uu. en alemania en la última escalada de las tensiones entre el presidente estadounidense y el ejecutivo del canciller alemán friedrich merz.la medida aparenta ... un castigo de trump a merz po...,No Clickbait,0.367,Ambos: No Clickbait
67,ABC,Internacional,¿quién es el sospechoso del ataque en la cena de trump? un maestro de california convertido en lobo solitario,donald trump compartió las primeras imágenes del sospechoso de protagonizar un ataque en el hotel hilton de washington donde el presidente de ee.uu. protagonizaba la cena anual de la asociación de corresponsales de la casa blanca.el multimillonario neoyorquino las colgó en su ... red social poco ant...,Clickbait,0.513,Ambos: Clickbait
68,ABC,Internacional,dos embajadores dos mundos irán e israel exhiben su choque en madrid,no es posible juntarles en una mesa pero esta semana se sentaron ante el mismo foro bajo iguales reglas para abordar un único asunto la guerra que mantiene en vilo al mundo. sin embargo las similitudes que permitieron confrontar en espejo los relatos de los ... embajadores de irán en madrid reza fab...,No Clickbait,0.299,Ambos: No Clickbait
71,ABC,Internacional,trump intenta aprovechar el atentado para remontar en la elección de medio mandato en otoño,trump sobrevivió este fin de semana a su tercer intento de atentado un episodio que vuelve a colocar la violencia política en el centro de la campaña de mitad de mandato y que puede alterar al menos temporalmente el clima adverso que afrontan el presidente ... y su partido republicano . ya ocurrió e...,No Clickbait,0.255,Ambos: No Clickbait
72,ABC,Internacional,milei se prepara para la reelección en 2027 sin primarias y sin debates,a un año de las próximas elecciones presidenciales en las que javier milei buscará renovar su mandato el jefe de estado se propone cambiar la normativa electoral vigente. entre los principales puntos del texto enviado al parlamento se encuentran la eliminación de las primarias abiertas ... simultane...,No Clickbait,0.225,Ambos: No Clickbait
73,ABC,Internacional,guerra en irán en directo ataques de estados unidos e israel y última hora del alto el fuego y las negociaciones con donald trump hoy,emiratos levanta todas las restricciones al tráfico aéreo. las autoridades de emiratos árabes unidos han anunciado este sábado el fin de las restricciones al tráfico aéreo impuestas tras el inicio de la ofensiva militar de estados unidos e israel contra irán y las represalias de teherán. la autorida...,No Clickbait,0.254,Ambos: No Clickbait
74,ABC,Internacional,disparos en el hilton dudas en la red cómo un atentado real se convirtió en una conspiración en minutos,con cientos de personas aún atrapadas en el salón de baile del hotel hilton el presidente ya evacuado bajo custodia del servicio secreto y un agente de este cuerpo camino del hospital dentro todavía no sabíamos si todo había terminado. afuera en cambio la historia ... ya había tomado otro rumbo . en...,No Clickbait,0.336,Ambos: No Clickbait
75,ABC,Internacional,magyar tiende la mano a ucrania,todavía sin haber sido nombrado primer ministro el ganador de las elecciones húngaras peter magyar está ya dando un giro radial a la política exterior del país en la dirección deseada por la comisión europea con cuyos representantes ha mantenido ya reuniones en ... bruselas para desbloquear los fond...,No Clickbait,0.485,Ambos: No Clickbait
76,ABC,Internacional,los aranceles de trump ponen a la ue y ee.uu. a un paso de la guerra comercial,la comisión europea considera que estados unidos debe volver lo antes posible a los términos pactados en el acuerdo de turnberry y por tanto abstenerse de aplicar los aranceles adicionales con los que amenazó el presidente donald trump el pasado fin de semana . después ... de una reunión de hora y m...,No Clickbait,0.452,Ambos: No Clickbait
77,ABC,Internacional,la violencia política se recrudece en ee.uu. con el tercer atentado contra trump,la esperada noche del regreso de donald trump a la cena de gala de los corresponsales de la casa blanca su anticipado ajuste de cuentas con los medios a los que tanto parece detestar pero de los que tanto depende terminó en pocos segundos convertida ... en una escena de caos y terror disparos en las...,No Clickbait,0.217,Ambos: No Clickbait
78,ABC,Internacional,irán plantea un acuerdo por fases que garantiza al menos un mes más de alto el fuego,la diplomacia mantiene abierta la esperanza de un acuerdo e irán volvió a enviar una nueva propuesta a estados unidos la segunda en los últimos días. fuentes cercanas a la negociación citadas por el portal axios aseguraron que se trata de un plan por fases ... que fija un plazo de un mes para negoci...,No Clickbait,0.227,Ambos: No Clickbait
79,ABC,Internacional,la ia el nuevo campo de batalla entre ucrania y rusia,dos militares rusos se rindieron sin que hubiese ningún soldado ucraniano apuntándoles. los invasores estaban agazapados en un búnker cuando todo sucedió. los primeros en enfilarlos fueron los drones fpv teledirigidos y controlados por un operador. a continuación arrastrándose por la tierra avanzaro...,No Clickbait,0.349,Ambos: No Clickbait
80,ABC,Nacional,bioparc valencia abre el plazo de inscripción de la escuela expedición áfrica verano,el verano está a la vuelta de la esquina y eso significa que bioparc valencia se prepara un año más para abrir sus puertas a la imaginación la curiosidad y el aprendizaje con una de sus propuestas más esperadas por las familias. el parque ... abre el plazo de inscripción para la edición de verano de...,No Clickbait,0.230,Ambos: No Clickbait
81,ABC,Nacional,el voto joven es la gran incógnita de las elecciones en andalucía del 17 m,en los detalles. el resultado final de las elecciones autonómicas de andalucía se decidirá por un puñado de votos los restillos de las provincias especialmente sevilla cádiz y córdoba. el presidente de la junta juanma moreno los cifra en unas 15.000 papeletas ... que son las que otorgarán la mayoría...,No Clickbait,0.247,Ambos: No Clickbait
82,ABC,Nacional,así está el córdoba cf en la clasificación tras el triunfo ante el sporting,el córdoba cf ha disputado este domingo la trigésimo séptima jornada de la liga hypermotion ante el sporting de gijón en el arcángel. el conjunto blanquiverde realizó un partido muy serio en el que supo sobreponerse con claridad ante el conjunto asturiano 3 ... 2. pese al tanto inicial de otero el c...,No Clickbait,0.405,Ambos: No Clickbait
83,ABC,Nacional,residencia ya exige al alcalde de toledo una reunión para hablar de san juan de dios,la plataforma ciudadana residencia ya anteriormente conocida como hospitalito ya ha vuelto a concentrarse este miércoles para reclamar una residencia de mayores 100% pública en el edificio del hospital de san juan de dios situado en el casco histórico de toledo.el colectivo solicita ... al ayuntamie...,No Clickbait,0.381,Ambos: No Clickbait
84,ABC,Nacional,el juez peinado se reafirma en sentar a begoña gómez ante un jurado popular y rechaza archivar la causa,el juez juan carlos peinado ha confirmado su decisión de que begoña gómez la esposa del presidente del gobierno sea enjuiciada por un jurado popular junto a su asesora cristina álvarez y el empresario juan carlos barrabés rechazando los recursos que presentaron y en ... los que también solicitaban e...,No Clickbait,0.197,Ambos: No Clickbait
85,ABC,Nacional,montero replica a juanma moreno que el gobierno de sánchez lleva ocho años trabajando con la ia,la propuesta del presidente de la junta de andalucía de poner en marcha una consejería de inteligencia artificial ha tenido su respuesta de la candidata del psoe a. maría jesús montero que este sábado interviene en un acto sobre igualdad de mairena del aljarafe defiende ... que que el gobierno de pe...,No Clickbait,0.365,Ambos: No Clickbait
86,ABC,Nacional,la audiencia nacional libra a jordi pujol del juicio por la fortuna oculta al no tener capacidad para defenderse,exonerado. jordi pujol ha llegado este lunes a la sede de la audiencia nacional en san fernando de henares pasadas las 9.00 horas en un vehículo para pasar el reconocimiento forense que debía determinar si se encontraba o no en condiciones de declarar ... como imputado en el juicio por la fortuna oc...,No Clickbait,0.304,Ambos: No Clickbait
