idx,Periódico,Categoría,Título,Contenido,TANIWA,BERT,Score BERT,Tipo
70,ABC,Internacional,el atacante no solo quería matar a trump sino a otros miembros de su administración,el día después del tercer intento de asesinato de donald trump arranca con una pregunta abierta por qué. la investigación del ataque en la famosa cena de corresponsales de la casa blanca se retoma este domingo 26 con ese objetivo y otro igual de urgente ... cómo logró el atacante acercarse tanto al ...,Clickbait,No Clickbait,0.451,Solo TANIWA: CB
88,ABC,Nacional,sánchez se ensaña con feijóo y corteja al pnv tras el choque con esteban,el presidente del gobierno pedro sánchez es un hombre de dos caras. inflexible con la oposición complaciente con sus socios. la sesión de control de este miércoles una vez más ha fotografiado sus dos vertientes. mano dura con el popular alberto núñez feijóo a quien ... se dirige altivo condescendien...,No Clickbait,Clickbait,0.514,Solo BERT: CB
96,ABC,Nacional,antonio maíllo hay que estar muy atentos. me preocupan ceuta y melilla no hacemos política acertada con marruecos,¡a por todas! le suelta a antonio maíllo un vecino del sevillano barrio de la macarena donde el coordinador federal de izquierda unida iu integrado en sumar cita a abc en plena semana de feria. hace ya meses que se viste ... a partes iguales de líder estatal de un sempiterno partido que festeja su c...,No Clickbait,Clickbait,0.572,Solo BERT: CB
101,ABC,Cultura,un operativo nocturno consiguió que banksy instalara sin permiso una escultura en londres,la madrugada del pasado miércoles en una de las zonas con mayor densidad institucional de londres una escultura de gran tamaño fue instalada sin autorización en waterloo place en el distrito de westminster a escasos metros de the mall la avenida ceremonial que conecta ... trafalgar square con el pal...,Clickbait,No Clickbait,0.239,Solo TANIWA: CB
107,ABC,Cultura,el arrabal de juegos y fuegos de irene infantes,los que fuimos niños del barrio de san bernardo en sevilla jugando en la puerta de la fábrica de artillería asomada a la calle cofia como improvisada portería o subiéndonos en los árboles que rodeaban los restos de la almunia de la buhaira o ... de la inconclusa basílica de aníbal gonzález entendemo...,Clickbait,No Clickbait,0.349,Solo TANIWA: CB
110,ABC,Cultura,virginia woolf y la giganta,estos relatos son los primeros intentos narrativos conocidos de virginia woolf . aparecen ahora en español en dos ediciones distintas una de páginas de espuma violet y otra de lumen vida de violet. sorteemos de una vez la difícil cuestión de cuál de las dos ... recomendar . yo no sabría decir cuál d...,Clickbait,No Clickbait,0.379,Solo TANIWA: CB
111,ABC,Cultura,muere georg baselitz el gran pintor que puso el mundo patas arriba,el círculo familiar de georg baselitz ha confirmado esta jueves el fallecimiento a la edad de 88 años de uno de los grandes de la pintura que logró reconectar la pintura alemana con la escena internacional después de 1945 en un país marcado por la ... culpa histórica la censura y la ruptura cultural...,No Clickbait,Clickbait,0.563,Solo BERT: CB
115,ABC,Cultura,lo extraordinario es el teatro,tras su éxito en los teatros canal en madrid la obra la vida extraordinaria inicia su recorrido por toda españa. se trata sin duda de una comedia llevada al límite una tragedia que se guarda del exceso y un texto prodigioso llevado a escena ... por dos actrices versátiles e ilimitadas en su capacida...,Clickbait,No Clickbait,0.428,Solo TANIWA: CB
117,ABC,Cultura,shakira brilla ante una marea humana en la icónica playa de copacabana,bajo la luna llena la estrella del pop latino shakira deleitó este sábado a una marea humana en la icónica playa de copacabana en rio de janeiro durante más de dos horas cargadas de hits y palabras de amor por brasil.una loba como se ... conoce a la cantante colombiana formada con drones se proyectó...,No Clickbait,Clickbait,0.552,Solo BERT: CB
118,ABC,Cultura,xabier anduaga siento mucha responsabilidad encima pero la afronto con ilusión y ganas,cuando xabier anduaga sube al escenario y canta es muy difícil recordar que se trata de un tenor que tiene solamente treinta años. lleva una década en ascenso pero aun así sigue resultando sorprendente. el reciente éxito de su sonnambula en el metropolitan de ... nueva york junto a nadine sierra ha ...,No Clickbait,Clickbait,0.635,Solo BERT: CB
123,El Confidencial,Internacional,el petróleo no es ruso pero la tubería sí cómo moscú vuelve a exprimir a alemania,más de cuatro años después de la invasión rusa a gran escala de ucrania el fantasma de la dependencia continúa persiguiendo a alemania. a partir de este 1 de mayo rusia dejará de permitir el tránsito de crudo desde kazajistán hacia alemania por el oleoducto druzhba la vieja arteria soviética que dur...,No Clickbait,Clickbait,0.631,Solo BERT: CB
124,El Confidencial,Internacional,donald trump pide el despido de jimmy kimmel por su parodia sobre la casa blanca,el presidente donald trump pidió este lunes el despido inmediato del presentador jimmy kimmel después de que su esposa melania pidiera a la cadena abc que tomara medidas contra el comediante por una parodia en la que hizo comentarios sobre el mandatario y la primera dama. jimmy kimmel debería ser de...,Clickbait,No Clickbait,0.468,Solo TANIWA: CB
134,El Confidencial,Internacional,trump acusa en falso a españa e italia e insiste en que no está contento con su postura sobre irán,el presidente de estados unidos donald trump afirmó este viernes que no está contento con españa ni con italia porque a su juicio ambos países verían con buenos ojos que irán obtuviera un arma nuclear.no estoy contento con italia ni con españa. creen que está bien que irán tenga un arma nuclear resp...,No Clickbait,Clickbait,0.508,Solo BERT: CB
137,El Confidencial,Internacional,la ue tiene su propia cláusula de defensa mutua pero nadie sabe cómo funciona,la europa de hoy no tiene un especial interés por la historia. tras siglos en el centro de ella triunfando y fracasando masacrando a otros y siendo masacrada por ella misma tras haber tanteado a ciegas las profundidades más oscuras de la humanidad en el siglo xx europa lo que quiere es descansar. es...,Clickbait,No Clickbait,0.473,Solo TANIWA: CB
139,El Confidencial,Internacional,buscamos periodista especializado en internacional para unirse a el confidencial,en el confidencial buscamos un/a periodista especializado/a +5 años de experiencia para incorporarse a la sección de internacional.las responsabilidades incluyen la producción propia de artículos noticias análisis y entrevistas además del seguimiento de la última hora y la edición de material extern...,Clickbait,No Clickbait,0.298,Solo TANIWA: CB
149,El Confidencial,Nacional,el plan gratis perfecto para familias este puente de mayo en barcelona así es la feria de brujas inspirada en una antigua tradición nórdica,museos gratis en barcelona el primer domingo de mes qué visitar este 3 de mayoqué hacer gratis en barcelona este fin de semana la feria de abril 2026 con flamenco rebujito y casetas abiertas al públicola xv feria de walpurgis de terrassa regresa este puente de mayo como uno de los planes gratis más ...,Clickbait,No Clickbait,0.292,Solo TANIWA: CB
153,El Confidencial,Nacional,¡feliz día de la comunidad de madrid! 30 frases originales y bonitas para felicitar el 2 de mayo por whatsapp,metro de madrid estrena puertas de andén en cinco estaciones el vídeo de la nueva infraestructuraqué hacer en madrid el día de la madre 2026 planes originales para hacerla felizel día de la comunidad de madrid que se celebra cada 2 de mayo es una de las fechas más señaladas para los madrileños. esta...,Clickbait,No Clickbait,0.403,Solo TANIWA: CB
155,El Confidencial,Nacional,el psoe propone legislar contra la desinformación y defiende que tve es imparcial,el partido socialista mueve ficha en el congreso de los diputados para legislar contra la desinformación. el psoe en pie de guerra con los medios críticos o que destaparon los casos de corrupción que afectan al entorno del presidente del gobierno impulsando la retórica del fango y los bulos ha regis...,Clickbait,No Clickbait,0.350,Solo TANIWA: CB
157,El Confidencial,Nacional,ortega smith la insumisión del sargento de hierro,espinosa olona monasterio… se le amontonan los cadáveres exquisitos a barbazul abascal. lo digo porque javier ortega smith también ha sido sacrificado en el cadalso. y conviene emplear el verbo exacto sacrificar porque en los partidos con vocación litúrgica y confesional las purgas adoptan la forma ...,No Clickbait,Clickbait,0.533,Solo BERT: CB
159,El Confidencial,Nacional,de bodas a eventos corporativos la discoteca al aire libre que triunfa en canarias y es ideal para el verano,más de 30 años de fiesta en canarias así es la emblemática discoteca inspirada en la película casablanca con luces de neónla icónica discoteca lgtbiq+ que marcó la vanguardia cultural en canarias y renace como un club inclusivoalboroto las palmas se ha convertido en uno de los nombres más repetidos ...,Clickbait,No Clickbait,0.273,Solo TANIWA: CB
160,El Confidencial,Cultura,la erótica de la religión o los sucedáneos de la mística,que el cristianismo está de moda y más entre los jóvenes ya casi nadie lo discute. youtubers influencers cantantes y periodistas se han sumado al festín iconográfico de la imaginería cristiana especialmente la católica de un poder visual indiscutible. lo hemos visto en los domingos la premiada pelíc...,Clickbait,No Clickbait,0.392,Solo TANIWA: CB
161,El Confidencial,Cultura,la realidad virtual existía hace 200 años así eran los panoramas,en mayo de 1793 un comerciante de londres podía hacer algo que hoy nos parece imposible sin tecnología entrar en el nuevo edificio circular de leicester square subir una escalera en penumbra y al abrir una puerta encontrarse de repente rodeado por la flota del rey jorge iii en spithead. no es un cua...,Clickbait,No Clickbait,0.347,Solo TANIWA: CB
164,El Confidencial,Cultura,el día que el ser humano se dio de bruces con la idea de la extinción gracias a los dinosaurios,un día como otro cualquiera en nueva inglaterra en la localidad de south hadley massachusetts un granjero de doce años de edad se disponía a arar los campos de su padre. el muchacho tenía un nombre peculiar pliny moody pero más allá de eso nada en su vida parecía destinado a la excepcionalidad.sin e...,Clickbait,No Clickbait,0.368,Solo TANIWA: CB
168,El Confidencial,Cultura,anne hathaway actriz de el diablo viste de prada 2 sobre uno de sus diseñadores favoritos era como mi familia,meryl streep 21 nominaciones al oscar pensaba que dedicar tu vida a ser actriz era algo un poco tontode carmen lomana a ana cristina portillo o rocío martín berrocal el estreno de el diablo viste de prada 2 tiñe madrid de rojo carmesíla actriz anne hathaway estrena este jueves en cines el diablo vis...,Clickbait,No Clickbait,0.443,Solo TANIWA: CB
169,El Confidencial,Cultura,una evasión cálida e ingeniosa la película de julia roberts y george clooney más vista en netflix,ganó 2 oscars y acaba de llegar a netflix la película de tom hanks que recuerda a la misión artemis iimarcelo zarvos compositor de las guerreras k pop pensaba en un pequeño guiño a kill billla comedia romántica en netflix vuelve a colocarse entre lo más visto de la plataforma de streaming gracias a ...,Clickbait,No Clickbait,0.314,Solo TANIWA: CB
170,El Confidencial,Cultura,alaska y nacho canut fangoria ahora todas somos drama queens,alaska y nacho canut o nacho canut y alaska. tanto monta monta tanto como isabel y fernando. fangoria lleva décadas orbitando entre la ironía la cultura pop y una lúcida desconfianza hacia cualquier verdad absoluta. en su nuevo disco la verdad o la imaginación vuelven a ese territorio donde lo real ...,Clickbait,No Clickbait,0.443,Solo TANIWA: CB
172,El Confidencial,Cultura,acaba de llegar a prime video la película con adriana ugarte y un asesino en serie que tienes que ver este puente de mayo,tienes que ver esta película de santiago segura en prime video muy diferente a torrente presidente¿hasta dónde llegarías para llamar la atención de tu pareja? la película que tienes que ver en prime video del director de el dramael catálogo de la plataforma de streaming prime video suma un nuevo thr...,Clickbait,No Clickbait,0.396,Solo TANIWA: CB
173,El Confidencial,Cultura,últimos días para este western estadounidense con ariadna gil en netflix tienes que verlo una vez en la vida,el monumental western basado en hechos reales lo puedes ver en movistar plus+ y es toda una lección de historiaeste western es una de las obras maestras de clint eastwood está basado en una novela y lo puedes ver en movistar plus+llegan los últimos días para ver en la plataforma netflix un western e...,Clickbait,No Clickbait,0.473,Solo TANIWA: CB
175,El Confidencial,Cultura,está protagonizada por álvaro cervantes y oriol pla la película en filmin de vidas cruzadas que tienes que ver,álvaro cervantes 36 años premio sant jordi al mejor actor 2026 dudo que me vuelva a pasar algo así con una películaálvaro cervantes y miriam garlo en la revuelta tve tras arrasar en los goya con sorda las personas sordas no pueden ir al cineha podido pasar desapercibida en el catálogo de streaming p...,Clickbait,No Clickbait,0.321,Solo TANIWA: CB
177,El Confidencial,Cultura,un souvenir del siglo ii encuentran en soria una copa romana del muro de adriano,una copa romana fechada en el siglo ii con una decoración alusiva al muro de adriano vallum aelium ha sido encontrada de forma fortuita por científicos del consejo superior de investigaciones científicas csic y del museo arqueológico nacional a un centenar de metros del casco urbano de berlanga de d...,Clickbait,No Clickbait,0.316,Solo TANIWA: CB
179,El Confidencial,Cultura,euphoria más enfermiza más putrefacta y más repugnante,no es extraño que las ahora estrellas zendaya sydney sweeney y jacob elordi salieran de una exitosa serie de hbo. lo extraño es que vuelvan. contrariamente a lo que les habrán aconsejado tirándose de los pelos sus representantes todos han cumplido con el show que los vio despegar y cuatro años despu...,Clickbait,No Clickbait,0.358,Solo TANIWA: CB
181,ElDiario,Internacional,así te hemos contado la última hora del ataque de eeuu e israel a irán del 11 de mayo de 2026,el intercambio a través de pakistán de respuestas entre irán y eeuu no ha supuesto avances en las últimas horas . teherán remitió ayer su respuesta a la propuesta de washington para poner fin a la guerra y abrir una nueva negociación. para trump esta fue una respuesta inaceptable. irán insiste en qu...,Clickbait,No Clickbait,0.342,Solo TANIWA: CB
184,ElDiario,Internacional,qué ha supuesto el viaje a españa de la relatora de la onu para palestina y qué deben hacer los países para proteger el derecho internacional,las sanciones de eeuu contra la relatora de la onu contra miembros de la corte internacional y contra organizaciones de derechos humanos palestinas requieren una respuesta europea que no llega lo que facilita más crímenes israelíes israel repite el guion fallido de la ocupación de líbano 26 años des...,Clickbait,No Clickbait,0.436,Solo TANIWA: CB
199,ElDiario,Internacional,el misterio de un salto mortal o cómo londres se convirtió en un cascarón vacío de opulencia sin escrúpulos,el periodista patrick radden keefe investiga en su libro london falling la vida y la muerte de zac brettler un joven británico que se hizo pasar por hijo de un oligarca ruso en londres y retrata el cambio de una ciudad marcada por las finanzas sin regulación el lavado de dinero las apariencias el fr...,Clickbait,No Clickbait,0.478,Solo TANIWA: CB
201,ElDiario,Nacional,así te hemos contado la última hora sobre el brote de hantavirus y la actualidad política del 11 de mayo de 2026,este lunes ha arrancado la última semana de campaña en andalucía donde esta noche se ha celebrado el segundo debate electoral . moreno intentará revalidar la mayoría absoluta y según seis encuestas se quedará al borde de conseguirlo . si así fuera dependería de vox como otros barones de su partido. ...,Clickbait,No Clickbait,0.294,Solo TANIWA: CB
211,ElDiario,Nacional,juicio kitchen el extraordinario caso del matrimonio de policías que cobraba 25.000 euros al mes,el ministerio del interior del pp envió al inspector jefe fuentes gago y a su mujer policía a puestos distintos en la misma ciudad de países bajos cobraban sueldos de 14.000 y más de 10.000 euros respectivamente y él podía continuar con los encargos de la brigada política perfil fuentes gago de chic...,Clickbait,No Clickbait,0.259,Solo TANIWA: CB
218,ElDiario,Nacional,nadie es quien dice en el juicio de kitchen protagonistas en la sombra testifican ajenos a la guerra sucia del pp,un presidente del gobierno y sus dos manos derechas mandos policiales empresarios un abogado y hasta un cura desfilan por la vista del espionaje a bárcenas extrañados de que se les pregunten por las evidencias sobre ellos en la fonoteca de villarejo sus agendas y los descubrimientos del caso el poli...,Clickbait,No Clickbait,0.392,Solo TANIWA: CB
228,ElDiario,Cultura,paul laverty desde cannes es una vergüenza que hollywood meta a bardem en listas negras por hablar de gaza,el guionista miembro del jurado de esta 79 edición ha mostrado su posicionamiento a favor de los actores que han hablado contra el genocidio thierry frémaux director del festival de cannes españa siempre ha sido un gran país para el cine tras lo ocurrido en el pasado festival de berlín donde se desa...,No Clickbait,Clickbait,0.519,Solo BERT: CB
232,ElDiario,Cultura,la historia con tinta entra los cómics rellenan las grandes carencias de la educación,el historiador julián casanova experto en la guerra civil y el franquismo se pasa a la novela gráfica con españa partida en dos carlota juncosa investiga en un cómic la escena grafitera de los 2000 si eras chica y ponías demasiado rosa estaba mal visto sortear los vericuetos del ensayo para adaptar ...,Clickbait,No Clickbait,0.362,Solo TANIWA: CB
239,ElDiario,Cultura,cómo angelina jolie convirtió su experiencia con el cáncer de mama en motor de cambio otras mujeres no pueden elegir,la actriz estrena couture una película en la que interpreta a una directora de cine a la que le diagnostican un cáncer mientras rueda un anuncio en la semana de la moda de parís el mítico studio ghibli premio princesa de asturias de comunicación y humanidades 2026 después de que su abuela y su madre...,Clickbait,No Clickbait,0.459,Solo TANIWA: CB
248,Huffingtonpost,Internacional,un juez publica la supuesta nota de suicidio de jeffrey epstein y una frase desata de nuevo todas las incógnitas,la supuesta carta atribuida a jeffrey epstein apenas ocupa unas líneas pero ha bastado para reactivar todas las incógnitas alrededor de su muerte. la frase más comentada me investigaron durante meses ¡¡¡no encontraron nada!!! se ha viralizado rápidamente en estados unidos especialmente porque llega ...,Clickbait,No Clickbait,0.253,Solo TANIWA: CB
271,Huffingtonpost,Nacional,el acoso de vito quiles o bertrand ndongo tiene su origen en la extrema derecha trumpista y continúa con el apoyo de pp y vox,el 21 de febrero de 2016 un todavía desconocido periodista del diario el mundo de poco más de 30 años publicaba en el periódico una entrevista exclusiva con la primera mujer que había sufrido torturas por parte de sergio morate el hombre condenado un año antes por el asesinato de dos mujeres. el rep...,Clickbait,No Clickbait,0.443,Solo TANIWA: CB
284,Huffingtonpost,Cultura,le ponen al secretario de estado de sanidad lo que dice esperanza aguirre del hantavirus su réplica incontestable,el secretario de estado de sanidad javier padilla ha respondido en al rojo vivo a las palabras que ha dejado esperanza aguirre sobre la crisis del hantavirus de la que ha hablado sin tener ninguna autoridad en la materia.la expresidenta de la comunidad de madrid se ha mostrado indignada con el gobie...,Clickbait,No Clickbait,0.417,Solo TANIWA: CB
285,Huffingtonpost,Cultura,anne hathaway se convertirá en una tradwife en su próxima película basada en el libro yesteryear,anne hathaway es la actriz del momento y encadena trabajo con trabajo. después de semanas de intensísima promoción de el diablo viste de prada 2 se estrena este viernes que ha coincidido con la menos exigente de mother mary que llegará a nuestro país el 31 de julio hathaway ya está metida de lleno e...,Clickbait,No Clickbait,0.359,Solo TANIWA: CB
289,Huffingtonpost,Cultura,una catalana pide una caña en madrid y acaba atrapada en el eterno debate de los bares,hay debates que jamás terminan en españa . tortilla con o sin cebolla. cómo se llama el bocadillo de pan con chocolate. o qué demonios significa exactamente pedir una cerveza pequeña dependiendo de la ciudad en la que estés.el último ejemplo llega desde tiktok donde un vídeo de la cuenta se ha viral...,Clickbait,No Clickbait,0.451,Solo TANIWA: CB
290,Huffingtonpost,Cultura,kat graham confirma que sus escenas como diana ross fueron eliminadas de la película michael,la actriz kat graham había grabado las escenas en las que interpretaba a diana ross para el biopic de michael jackson que se estrenó el pasado miércoles en todo el mundo. sin embargo antes del estreno graham reveló en su cuenta de x que estas secuencias habían sido eliminadas del montaje final.antes...,Clickbait,No Clickbait,0.326,Solo TANIWA: CB
292,Huffingtonpost,Cultura,carlos alsina valora así el papel del gobierno con el hantavirus a muchos puede que sorprenda,carlos alsina ha dedicado uno de sus monólogos matutinos a analizar cómo ha gestionado el gobierno de españa la crisis del hantavirus . este fin de semana el barco mv hondius donde viajaban 152 personas ha fondeado en tenerife y los pasajeros han ido viajando de forma escalonada a sus países de orig...,No Clickbait,Clickbait,0.575,Solo BERT: CB
293,Huffingtonpost,Cultura,maribel verdú es muy tajante a la hora de responder a los que critican que el cine español se posicione políticamente,la actriz maribel verdú ha concedido una entrevista al diario el mundo en plena promoción de su nuevo trabajo bajo tus pies en la que ha hablado del problema que hay con la vivienda y hasta ha contestado a aquellos que critican a los actores y actrices que denuncien estos problemas en galas como los...,Clickbait,No Clickbait,0.402,Solo TANIWA: CB
315,La Vanguardia,Internacional,trump recibe con pompa a los reyes británicos y se jacta de ser el primo lejano de carlos iii,trump recibe con pompa a los reyes británicos y se jacta de ser el primo lejano de carlos iii ee.uu. reino unido en un ambiente de seguridad reforzada tras el atentado del sábado el rey dará esta tarde un discurso en el capitolio el segundo en la historia de un monarca ante una sesión conjunta del c...,No Clickbait,Clickbait,0.612,Solo BERT: CB
320,La Vanguardia,Nacional,el pnv cancela una reunión en la moncloa por una falta de respeto del pse con aitor esteban,el pnv cancela una reunión en la moncloa por una falta de respeto del pse con aitor esteban pugna política los socialistas vascos han publicado un tuit crítico sobre el presidente peneuvista por sus negociaciones con bildu por el estatuto de gernika el pnv ha anulado una reunión que mañana iba a man...,Clickbait,No Clickbait,0.346,Solo TANIWA: CB
322,La Vanguardia,Nacional,el 40% de las grabaciones de villarejo no han podido ser desencriptadas,el 40% de las grabaciones de villarejo no han podido ser desencriptadas caso kitchen los funcionarios dejaron de descifrar archivos por orden de su superior después de un año consumiendo recursos sin lograr nuevos resultados los investigadores que analizaron todos los dispositivos intervenidos al ex...,Clickbait,No Clickbait,0.377,Solo TANIWA: CB
334,La Vanguardia,Nacional,el pp pide explicaciones al gobierno en el congreso por una presunta investigación judicial a zapatero,el pp pide explicaciones al gobierno en el congreso por una presunta investigación judicial a zapatero el escenario político los populares formulan cinco preguntas por escrito para saber si el expresidente ha mediado en favor de empresas con el objetivo de obtener ayudas subvenciones o contratos el ...,Clickbait,No Clickbait,0.217,Solo TANIWA: CB
343,La Vanguardia,Cultura,alan parks la segunda guerra mundial fue la última contienda en la que estaba claro quién era el malo,alan parks la segunda guerra mundial fue la última contienda en la que estaba claro quién era el malo una novela negra con rudolf hess el escritor escocés empieza una trilogía con la novela cielo rojo sobre glasgow en la que aparece un nuevo protagonista joseph gunner un expolicía adicto a la morfin...,Clickbait,No Clickbait,0.494,Solo TANIWA: CB
344,La Vanguardia,Cultura,paul laverty en cannes es una vergüenza que hollywood vete a susan sarandon javier bardem y mark ruffalo por hablar de gaza,paul laverty en cannes es una vergüenza que hollywood vete a susan sarandon javier bardem y mark ruffalo por hablar de gaza festival de cannes el guionista escocés forma parte del jurado de la sección oficial cuyo presidente park chan wook opina que la política y el arte no deben separarse paul lave...,No Clickbait,Clickbait,0.543,Solo BERT: CB
351,La Vanguardia,Cultura,llegan los nuevos personajes de cirque du soleil,llegan los nuevos personajes de cirque du soleil exposición casa cupra raval en septiembre se estrenará kurios en la gran carpa de lhospitalet los protagonistas del próximo show de cirque du soleil que llegará a la gran carpa de lhospitalet en septiembre visitan la casa cupra raval. el espectáculo k...,Clickbait,No Clickbait,0.295,Solo TANIWA: CB
352,La Vanguardia,Cultura,las marionetas hiperrealistas de aline kuppenheim diseccionan el culto a la belleza,las marionetas hiperrealistas de aline kuppenheim diseccionan el culto a la belleza teatros del canal feos basada en un cuento de mario benedetti reflexiona sobre el rechazo a las diferencias físicas las marionetas pueden expresar la fealdad sobre todo la deformidad física mejor que los actores expl...,Clickbait,No Clickbait,0.282,Solo TANIWA: CB
354,La Vanguardia,Cultura,elisabeth anglarill el expolio sigue estando a la orden del día y eso que ahora está penado,elisabeth anglarill el expolio sigue estando a la orden del día y eso que ahora está penado novedad editorial la periodista debuta en la ficción con los malos muertos una novela negra con tintes históricos ambientada entre lescala y las ruinas de empúries que muchos de los protagonistas de los malos...,No Clickbait,Clickbait,0.549,Solo BERT: CB
361,okdiario,Internacional,trump dispuesto a reunirse con los ayatolás mientras crece la tensión en ormuz y la incertidumbre por la paz,donald trump se ha abierto este lunes al diálogo con los ayatolás de la dictadura de irán en plena tensión en el estrecho de ormuz paso vital para el comercio de petróleo internacional y las dudas sobre las conversaciones de paz que deben reanudarse esta semana en islamabad pakistán. trump ha confir...,No Clickbait,Clickbait,0.543,Solo BERT: CB
367,okdiario,Internacional,trump vamos a repetir la cena en 30 días no quiero que la gente enferma cambie el país,el presidente de estados unidos donald trump convocó una rueda de prensa después de haber sido evacuado del hotel hilton de la cena de corresponsales tras escucharse disparos vamos a repetir la cena en 30 días no quiero que la gente enferma cambie el país. trump ha confirmado que el detenido tiene 3...,Clickbait,No Clickbait,0.486,Solo TANIWA: CB
368,okdiario,Internacional,qué sabemos del petrolero tifani abordado por eeuu en el índico su vínculo con irán y la flota oscura,¿qué sabemos del tifani el petrolero abordado por eeuu en el océano índico el martes 21 de abril? el petrolero de crudo tifani objeto de sanciones internacionales fue abordado por fuerzas estadounidenses durante la noche hora local de eeuu en aguas del océano índico. la operación se enmarca en el en...,Clickbait,No Clickbait,0.413,Solo TANIWA: CB
375,okdiario,Internacional,terribles testimonios de mujeres de gaza que denuncian violaciones y chantajes sexuales de terroristas de hamás,mientras el mundo se centra en la guerra entre eeuu e israel contra irán y en las propuestas de alto el fuego surgen escalofriantes testimonios de mujeres desde gaza contra hamás por sus continuos abusos sexuales . viudas divorciadas y madres desplazadas relatan cómo terroristas de hamás que ha rein...,Clickbait,No Clickbait,0.294,Solo TANIWA: CB
402,okdiario,Cultura,un libro basado en un crimen real que te cambia la forma de percibir la mente humana,hoy en recomendaciones literarias de okdiario traemos un libro estremecedor y muy adictivo basado en un caso real que estremeció al mundo que te cambia la forma de percibir la mente humana. se trata de una habitación llena de gente del escritor daniel keyes. una crónica incisiva veraz y muy bien esc...,Clickbait,No Clickbait,0.431,Solo TANIWA: CB
